id,is_active,branch_code,branch_name,enterprise_code,enterprise_inn,enterprise_name
1,1,85,TEMIRYO‘LINFRATUZILMA AJ Apparat (00085)(TEMIRYULINFRATUZILMA)(EDTs),1.11,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
2,1,86,"""TEMIRYOLINFRATUZILMA"" AJ (PERSONALNI TAYYORLASH MUASSASI, Personalni tayyorlash muassasasi)",1.12,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
3,1,88,"""Toshkent mintakaviy temir yo‘l uzeli"" filiali (RJU Toshkent, MTU)",1.13,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
4,1,89,Salar temir yo‘l masofasi (PCh-1),1.14,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
5,1,90,Toshkent temir yo‘l masofasi (PCh-2),1.15,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
6,1,91,Toshkent elektr taminot distantsiyasi (ECh-1),1.16,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
7,1,92,Toshkent signalizatsiya va aloka distantsiyasi (ShCh-1 ShCh-2),1.17,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
8,1,94,Xovos temir yo‘l masofasi (PCh-4),1.18,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
9,1,95,Xovos elektr taminot distantsiyasi (ECh-2),1.19,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
10,1,96,Xovos signallashtirish va aloka masofasisi (ShCh-3),1.2,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
11,1,97,"Toshkent bo‘limining texnika taminoti bo‘limi Xovos bekati (OMTS,NODX)",1.21,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
12,1,98,Jizzax temir yo‘l masofasi (PCh-5),1.22,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
13,1,99,Suv taminoti va binolarni saqlash distantsiyasi (VODCh-1),1.23,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
14,1,70,203-son Tajriba yo‘l mashina stantsiyasi (OPMS-203),1.24,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
15,1,71,Temir yo‘l monitoringi va diagnostika markazi (TsMD),1.25,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
16,1,100,"""Ko‘kon mintakaviy temir yo‘l uzeli"" filiali (RJU Kokand, MTU)",1.26,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
17,1,101,Qo‘qon temir yo‘l masofasi (PCh-6),1.27,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
18,1,102,Ko‘kon lokomotiv deposi (TCh-2),1.28,310920400,"""TEMIRYO‘LINFRATUZILMA"" AJ (""Temiryo‘linfratuzilma"" AJ)"
